PRODUCT,BRAND,CATEGORY,CAPACITY,ITEM_CODE,ITEM_DESC,PART_NO,UOM,OPEN_QTY,RECEIVED_QTY,ISSUE_QTY,BAL_QTY,AMOUNT
Home Appliances,Gree,Water Dispensors,Models,03010301070008,Water Tray GW-JL500FC 128404585P01,128404585P01,PCS,5,0,0,5,1600.47
Home Appliances,Gree,Water Dispensors,Models,03010301070009,Button (left) Golden GW-JL500FC 128404621P01,128404621P01,PCS,15,0,0,15,1521.04
Home Appliances,Gree,Refrigerator,Conventional,03010501020003,Drier  Fillter 310G 340G 310V 340V GR02-72710009,GR02-72710009,PCS,0,411,402,9,30123.77
Home Appliances,Gree,Refrigerator,Conventional,03010501020006,FAN COVER Common Model GR08-71510015,GR08-71510015,PCS,1,0,0,1,33.25
Home Appliances,Gree,Refrigerator,Conventional,03010501020007,COMPRESSOR - 95AT 310 GR18-73710005,GR18-73710005,PCS,5,8,4,9,46592.33
Home Appliances,Gree,Refrigerator,Conventional,03010501020008,FAN BOX Common Model GR08-71510034,GR08-71510034,PCS,1,0,0,1,69.69
Home Appliances,Gree,Refrigerator,Conventional,03010501020037,thermostat all models 100157 GR-310G-CR1 GR12-41100157,GR12-41100157,PCS,0,8,5,3,3173.07
Home Appliances,Gree,Refrigerator,Conventional,03010501050003,COMPRESSOR - 12AT 360 GR18-73710006,GR18-73710006,PCS,10,1,2,9,52668
Home Appliances,Gree,Refrigerator,Conventional,03010501070003,Ref Gas kit GR-340/360CD1 GR32-501070003,GR32-501070003,PCS,10,3,6,7,6921.38
Home Appliances,Gree,Refrigerator,Conventional,03010501280011,LED BULB WITH HOLDERS GR-D310G( 5684)  100044,100044,PCS,41,6,10,37,7303.68
Home Appliances,Gree,Refrigerator,Conventional,03010501290009,Rely 95AT GR-D340-CB2 GR18-73712205,GR18-73712205,PCS,0,5,4,1,208.93
Home Appliances,Gree,Refrigerator,Conventional,03010501700002,"THERMOSTAT WDF27-EX DD-388,448 GR-E8768-CB2 GR12-E51510027",GR12-E51510027,PCS,15,41,39,17,6300.74
Home Appliances,Gree,Refrigerator,Conventional,03010501730001,Ref Door Gas Kit GR-E9978G-CW1 GR32-E51520001,GR32-E51520001,PCS,0,37,34,3,3191.26
Home Appliances,Gree,Refrigerator,Conventional,03010501730005,Compressors ENK150KL GR-E9978G-CW1 GR18-E51519002,GR18-E51519002,PCS,11,27,37,1,-52143.53
Home Appliances,Gree,Refrigerator,Conventional,03010501730007,REF GLASS SHELF DD-493 GR-E9978G-CW1 GR24-E775100203,GR24-E775100203,PCS,0,8,0,8,2078.94
Home Appliances,Gree,Refrigerator,Conventional,03010501730012,Vegetable Box DD-493GR-E9978G-CW1GR23-E515130011,GR23-E515130011,PCS,0,2,0,2,744.03
Home Appliances,Gree,Refrigerator,Conventional,03010501740001,REF Fan Motor( AC~) GR-E8768G-CW1 GR04-E5150001,GR04-E5150001,PCS,74,115,180,9,46167.87
Home Appliances,Gree,Refrigerator,Conventional,03010501740002,Fan Motor DC GR-E8768G-CW1 GR04-E5150002,GR04-E5150002,PCS,2,1,2,1,727.41
Home Appliances,Gree,Refrigerator,Conventional,03010501740003,REF Gas Kit GR-E8768G-CW1 GR32-E51520003,GR32-E51520003,PCS,2,6,7,1,367.88
Home Appliances,Gree,Refrigerator,Conventional,03010501740025,PTC (QP2-15) Common GR33-E77610086,GR33-E77610086,PCS,18,351,345,24,14631.66
Home Appliances,Gree,Refrigerator,Conventional,03010501740028,REF TEMPRATURE SENSOR Common GR35-E77610089,GR35-E77610089,PCS,0,3,2,1,108.2
Home Appliances,Gree,Refrigerator,Conventional,03010501740031,EVAPORATOR TRAY Common GR36-E77610092,GR36-E77610092,PCS,30,12,32,10,1950.19
Home Appliances,Gree,Refrigerator,Conventional,03010501740048,Bottle Rack  GR-E8768G-CW1 GR19-79260013,GR19-79260013,PCS,4,0,0,4,757.72
Home Appliances,Gree,Refrigerator,Conventional,03010501740051,OLP EVEREST SERIES GR33-E77610091,GR33-E77610091,PCS,20,199,195,24,9716.69
Home Appliances,Gree,Refrigerator,Conventional,03010501740052,Sensor Everest Series GR35-E77610089,GR35-E77610089,PCS,0,4,2,2,200
Home Appliances,Gree,Refrigerator,Conventional,03010501750001,Freezer Door Gas Kit GR-E8768G-CW1 GR32-E51520004,GR32-E51520004,PCS,11,2,3,10,4597.97
Home Appliances,Gree,Refrigerator,Conventional,03010501780002,Ref Gas Kit GR-E8890G-CR2 GR32-E51520006,GR32-E51520006,PCS,0,7,6,1,380
Home Appliances,Gree,Refrigerator,Conventional,03010501840009,Fridge Door Gas Kit  GR-E8890G-CB2 GR19-E51520008,GR19-E51520008,PCS,0,6,3,3,2262.9
